"נחל","תאריך שטיפה","מקור","שם הגב","מצב הגב","תאריך עדכון גבים","מקור גבים","עוד קישורים","הערות","Latitude","Longitude"
"-","","","אבן רוח מים","","","","","","30.617008","34.845811"
"-","","","בור חמת","מלא","25/11/2025","פייסבוק","","","",""
"","","","","","","","","","",""
"מרכז הנגב","","","","","","","","","",""
"חדב","","","גב חדב","","","","","","30.5034417","34.922761"
"חיון","","","גבי חיון","","","","","","30.111668","34.9519574"
"כרכום","","","גב כרכום","","","","","","30.2925169","34.7388826"
"פארן","","","גבי פארן","","","","","","30.2882106","34.8505775"
"שגיא","","","הקניון הלבן","","","","","","30.2086658","34.7318764"
"","","","","","","","","","",""
"דרום הנגב","","","","","","","","","",""
"יחם","","","גב יחם","","","","","","",""
"","","","","","","","","","",""
"צפון הערבה","","","","","","","","","",""
"פרס","","","גבי פרס","","","","","","",""
"ספיר","","","גב ספיר","","","","","","30.6441023","35.1565463"
"צפית","","","עין צפית","","","","","","31.0170689","35.2253075"
"צופר","14/11/2025","מראה עיניים ","גב צופר","חצי מלא - גובה פופיק","22/11/2025","https://www.facebook.com/red.c.eilat/posts/pfbid08mHUmcvcszx9T7aXow11m9W45C584nkBDTUj9qS2pqEkJYwZnHGh6o7P1iayqXDql","","","",""
"","","","","","","","","","",""
"דרום הערבה","","","","","","","","","",""
"ברק","","","גבי ברק","","","","","","30.379724","35.057738"
"ורדית","","","גבי ורדית","","","","","","30.349084","35.021649"
"עשוש","","","","","","","","","",""
"עשרון","","","גב עשרון","","","","","","29.9152775","34.9719467"
"צניפים","","","גב צניפים","","","","","","30.0724669","34.8283211"
"","","","","","","","","","",""
"הרי אילת","","","","","","","","","",""
"אלכסון","","","גב אלכסון","","","","","","",""
"עתק","","","גבי עתק","","","","","","29.72878","34.92017"
"רחם","","","גבי רחם","","","","","","29.6631576","34.9217273"
"שני","","","","","","","","","",""
"שלמה","25/11/2025","סרטון מפייסבוק","","","","","","","",""
